id,type,time,author,author_id,re_tweeter,associated_tweet,text
1.14E+018,tweet,1560000000000,Priyanka_lol,7.62E+017,,1.14E+018,"On odd days""Ban Porn it's the reason for rapes""On even days KabirSingh is just a movie no1 will be like that in real life""Ok then"
1.14E+018,tweet,1560000000000,priyatham_nicho,3686246354,,1.14E+018,And a guy told me that Kabir singh is a true feminist as he attempts to beat a woman because he doesn't treat women differently from men!
1.14E+018,tweet,1560000000000,ajaymeena,28371586,,1.14E+018,Saw Kabir Singh.... Nice movie. Liked it.. even with its flaws..
1.14E+018,tweet,1560000000000,HASANAHMEDC,2392474142,,1.14E+018,Sir just watched Kabir Singh it was awesome I love it . And it didn't feel like a remake .
1.14E+018,tweet,1560000000000,bhatnagar2997,7.17E+017,,1.14E+018,"""After watching your performance in  Kaminey  Haider  UdtaPunjab and now  KabirSingh .. I am your FAN  shahidkapoor .. What a brilliant actor Loved the movie  Also"
1.14E+018,tweet,1560000000000,parthparekh1803,65309195,,1.14E+018,Was  KiaraAdvani in  KabirSingh or was  KabirSingh in  KiaraAdvani ?Please help.
1.14E+018,tweet,1560000000000,ruchit1343,2591045132,,1.14E+018,"Hence the name of the movie ""Kabir Singh"" and not ""Preeti Sikka"""
1.14E+018,tweet,1560000000000,rahul007sarkar,79664850,,1.14E+018,KabirSingh is a must must watch.. superb performance by  shahidkapoor again after Kaminey. Kaira Advani looks great. Story and execution is mind-blowing. Every scene Every dialogue Every character is entertaining. MUST WATCH 4.5/5 Â â¦
1.14E+018,tweet,1560000000000,parthparekh1803,65309195,,1.14E+018,The text -Smoking is injurious to healthat the lower right corner of the screen.has longer screen time than  KiaraAdvani in  KabirSingh
1.14E+018,tweet,1560000000000,ruchit1343,2591045132,,1.14E+018,"""In all the movies you mentioned"
1.14E+018,tweet,1560000000000,socialsnehal,3245749916,,1.14E+018,"""From  IshqVishk to  KabirSingh"
1.14E+018,tweet,1560000000000,RAJPARA_HARDIk_,791126533,,1.14E+018,KabirSingh  shahidkapoor  Advani_Kiara such a great acting by you wonderful movie
1.14E+018,tweet,1560000000000,Shariq72353619,8.16E+017,,1.14E+018,Everyone who watched kabir singh remember he is the university topper and a surgeon and the most important thing is he's father has a lots of money if you have strong professional life than you can get your love otherwise you'll just live the dream... kabirSingh  life
