Sl no.,STATE NAME,CONSTITUENCY,latitude,longitude,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,Number of voters,VOTERS TURN OUT (IN %),MARGIN
372,Rajasthan,Sikar,27.4334,75.4345,Sumedhanand Saraswati ,GEN,GEN,Bharatiya Janata Party,Lotus,1104156,77.68,239196
373,Rajasthan,Tonk-Sawai Madhopur,26.1996,75.9928,Sukhbir Singh Jaunapuria ,GEN,GEN,Bharatiya Janata Party,Lotus,1155972,82.63,135506
374,Rajasthan,Udaipur,24.1981,0.6536,Arjunlal Meena ,ST,ST,Bharatiya Janata Party,Lotus,1146407,81.38,236762
375,Sikkim,Sikkim,27.3516,88.3239,Prem Das Rai,GEN,GEN,Sikkim Democratic Front,Umbrella,310095,76.15,41742
376,Tamil Nadu,Arakkonam,13.0507,79.4704,"Hari, G.",GEN,GEN,All India Anna Dravida Munnetra Kazhagam,1254440,76.15,Two Leaves
377,Tamil Nadu,Arani,12.5062,79.4704,V.Elumalai,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,910452,71.93,243844
378,Tamil Nadu,Chennai Central,13.0697,80.2433,S.R. Vijayakumar,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1085402,72.69,45841
379,Tamil Nadu,Chennai North,13.1626,80.2879,Venkatesh Babu .T.G,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,815229,69.11,99704
380,Tamil Nadu,Chennai South,12.9204,80.2098,Dr. J. Jayavardhan,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1286651,76.09,135575
381,Tamil Nadu,Chidambaram ,11.2399,79.2902,"Chandrakasi, M",SC,SC,All India Anna Dravida Munnetra Kazhagam,1129849,77.7,Two Leaves
382,Tamil Nadu,Coimbatore,11.0217,77.1485,"Nagarajan, P.",GEN,GEN,All India Anna Dravida Munnetra Kazhagam,1089771,51.05,Two Leaves
383,Tamil Nadu,Cuddalore ,11.6513,79.5154,Arunmozhithevan.A,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,975203,53.06,203125
384,Tamil Nadu,Dharmapuri,12.0933,78.202,Anbumani Ramadoss,GEN,GEN,Pattali Makkal Katchi,Mango,1069343,53.3,77146
385,Tamil Nadu,Dindigul,10.2983,77.8367,Udhaya Kumar .M,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1102703,60.51,127845
386,Tamil Nadu,Erode,10.9986,77.6536,Selvakumara Chinnayan S,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1068556,71.58,211563
387,Tamil Nadu,Kallakurichi,11.7566,78.7476,Kamaraj. K,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1096549,75.55,223507
388,Tamil Nadu,Kancheepuram ,12.5268,80.0088,Maragatham  K,SC,SC,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1068122,79.75,146866
389,Tamil Nadu,Kanniyakumari,8.3235,77.3324,Radhakrishnan P.,GEN,GEN,Bharatiya Janata Party,Lotus,1107506,81.27,128662
390,Tamil Nadu,Karur,10.6586,78.0195,"Thambidurai,M.",GEN,GEN,All India Anna Dravida Munnetra Kazhagam,1150762,76.52,Two Leaves
391,Tamil Nadu,Krishnagiri,12.6257,78.0195,Ashok Kumar.K,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1060024,81.21,206591
392,Tamil Nadu,Madurai,10.0054,78.2476,R.Gopalakrishnan,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1009458,82.55,199424
393,Tamil Nadu,Mayiladuthurai,11.0246,79.5154,Bharathi Mohan R.K,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1050722,71.82,277050
394,Tamil Nadu,Nagapattinam ,10.7173,79.6502,Gopal. Dr. K,SC,SC,All India Anna Dravida Munnetra Kazhagam,Two Leaves,933493,74.6,106079
395,Tamil Nadu,Namakkal,11.284,78.1108,Sundaram P.R,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1176627,80.19,294374
396,Tamil Nadu,Nilgiris ,11.5,76.9182,"Gopalakrishnan, C.",SC,SC,All India Anna Dravida Munnetra Kazhagam,1012752,67.53,Two Leaves
397,Tamil Nadu,Perambalur,11.0346,78.5661,"Marutharajaa, R.P.",GEN,GEN,All India Anna Dravida Munnetra Kazhagam,1083689,82.01,Two Leaves
398,Tamil Nadu,Pollachi,10.6219,77.1025,Mahendran.C,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1047054,77.68,140974
399,Tamil Nadu,Ramanathapuram,9.4404,78.3842,Anwar Raajhaa. A ,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,988808,82.63,119324
400,Tamil Nadu,Salem,11.7502,78.0424,Pannerselvam.V,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1031666,81.38,267610
401,Tamil Nadu,Sivaganga,9.9788,78.7476,Senthilnathan Pr,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,985127,82.19,229385
402,Tamil Nadu,Sriperumbudur,12.9678,79.9425,"Ramachandran, K.N. Thiru",GEN,GEN,All India Anna Dravida Munnetra Kazhagam,1088842,84.27,Two Leaves
403,Tamil Nadu,Tenkasi ,9.2349,77.4702,Vasanthi.M,SC,SC,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1026581,83.48,161774
404,Tamil Nadu,Thanjavur,10.5274,79.2902,Parasuraman.K,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,942568,76.64,144119
405,Tamil Nadu,Theni ,9.933,77.4702,"Parthipan, R.",GEN,GEN,All India Anna Dravida Munnetra Kazhagam,1012666,79.31,Two Leaves
406,Tamil Nadu,Thiruvallur ,13.144443,79.894005,Venugopal.P.(Dr),SC,SC,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1027473,84.68,323430
407,Tamil Nadu,Thoothukkudi,8.9063,78.0195,Jeyasingh Thiyagaraj Natterjee.J,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,976385,85.16,124002
408,Tamil Nadu,Tiruchirappalli,10.515,78.9288,Kumar.P,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1076690,82.23,150476
409,Tamil Nadu,Tirunelveli,8.5488,77.6536,Prabakaran.K.R.P,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1011713,76.71,126099
410,Tamil Nadu,Tiruppur,11.3464,77.4702,V.Sathyabama,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,1001248,72.08,179315
411,Tamil Nadu,Tiruvannamalai,12.3038,78.9288,Vanaroja R,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,916913,78.87,168606
412,Tamil Nadu,Vellore,12.8387,78.7476,"Senguttuvan, B.",GEN,GEN,All India Anna Dravida Munnetra Kazhagam,1019436,81.53,Two Leaves
413,Tamil Nadu,Viluppuram,11.9644,79.4704,Rajendran S,SC,SC,All India Anna Dravida Munnetra Kazhagam,Two Leaves,962647,77.47,193367
414,Tamil Nadu,Virudhunagar,9.4218,77.8367,Radhakrishnan T,GEN,GEN,All India Anna Dravida Munnetra Kazhagam,Two Leaves,991162,74.02,145551
415,Tripura,Tripura East,23.9408,91.9882,Jitendra Chaudhury,ST,ST,Communist Party Of India  (Marxist),"Hammer,1075932,76.15, Sickle and Star"
416,Tripura,Tripura West,23.6614,91.4435,Sankar Prasad Datta,GEN,GEN,Communist Party Of India  (Marxist),"Hammer,952775,71.93, Sickle and Star"
417,Uttar Pradesh,Agra,27.3793,78.2476,Dr. Ram Shankar Katheria,SC,SC,Bharatiya Janata Party,Lotus,1194649,76.15,300263
418,Uttar Pradesh,Akbarpur,26.2278,80.2321,Devendra Singh @ Bhole Singh,GEN,GEN,Bharatiya Janata Party,Lotus,1119747,71.93,278997
419,Uttar Pradesh,Aligarh,27.9947,77.8825,Satish Kumar,GEN,GEN,Bharatiya Janata Party,Lotus,1107765,72.69,286736
420,Uttar Pradesh,Allahabad,25.1597,81.9535,Shyama Charan Gupta,GEN,GEN,Bharatiya Janata Party,Lotus,1060410,69.11,62009
421,Uttar Pradesh,Ambedkar Nagar,26.4,82.5,Hari Om Pandey,GEN,GEN,Bharatiya Janata Party,Lotus,942625,76.09,139429
422,Uttar Pradesh,Amethi,26.3174,81.6473,Rahul Gandhi,GEN,GEN,Indian National Congress,Hand,1128076,77.7,107903
423,Uttar Pradesh,Amroha,28.7636,78.2476,Kanwar Singh Tanwar,GEN,GEN,Bharatiya Janata Party,Lotus,958336,51.05,158214
424,Uttar Pradesh,Aonla,28.1729,79.4704,Dharmendra Kumar,GEN,GEN,Bharatiya Janata Party,Lotus,1057104,53.06,138429
425,Uttar Pradesh,Azamgarh,26.0238,83.2078,Mulayam Singh Yadav,GEN,GEN,Samajwadi Party,Bicycle,1095895,53.3,63204
426,Uttar Pradesh,Badaun,28.1151,78.7476,Dharmendra Yadav,GEN,GEN,Samajwadi Party,Bicycle,1113671,60.51,166347
427,Uttar Pradesh,Baghpat,28.9422,77.2261,Dr. Satya Pal Singh,GEN,GEN,Bharatiya Janata Party,Lotus,1004766,71.58,209866
428,Uttar Pradesh,Bahraich,27.7525,81.4279,Sadhvi Savitri Bai Foole,SC,SC,Bharatiya Janata Party,Lotus,1342471,75.55,95645
429,Uttar Pradesh,Ballia,25.6807,83.9744,Bharat Singh,GEN,GEN,Bharatiya Janata Party,Lotus,1199365,79.75,139434
430,Uttar Pradesh,Banda,25.2866,80.8987,Bhairon Prasad Mishra,GEN,GEN,Bharatiya Janata Party,Lotus,1010198,81.27,115788
431,Uttar Pradesh,Bansgaon,26.4157,83.5497,Kamlesh Paswan,SC,SC,Bharatiya Janata Party,Lotus,1064697,76.52,189516
432,Uttar Pradesh,Barabanki,26.9955,81.2519,Priyanka Singh Rawat,SC,SC,Bharatiya Janata Party,Lotus,1049289,81.21,211878
433,Uttar Pradesh,Bareilly,28.4929,79.4254,Santosh Kumar Gangwar,GEN,GEN,Bharatiya Janata Party,Lotus,1078331,82.55,240685
434,Uttar Pradesh,Basti,26.8391,82.6051,Harish Chandra  Alias  Harish Dwivedi,GEN,GEN,Bharatiya Janata Party,Lotus,1070405,71.82,33562
435,Uttar Pradesh,Bhadohi,25.4161,82.3452,Virendra Singh,GEN,GEN,Bharatiya Janata Party,Lotus,968233,74.6,158141
436,Uttar Pradesh,Bijnor,29.2979,78.0652,Kunwar Bhartendra,GEN,GEN,Bharatiya Janata Party,Lotus,1104647,80.19,205774
437,Uttar Pradesh,Bulandshahr,28.4215,78.0195,Bhola Singh,SC,SC,Bharatiya Janata Party,Lotus,999427,67.53,421973
438,Uttar Pradesh,Chandauli,25.3642,83.2078,Dr Mahendra Nath Pandey,GEN,GEN,Bharatiya Janata Party,Lotus,926283,82.01,156756
439,Uttar Pradesh,Deoria,26.6187,83.8897,Kalraj Mishra,GEN,GEN,Bharatiya Janata Party,Lotus,1027669,77.68,265386
440,Uttar Pradesh,Dhaurahra,27.3565,81.0354,Rekha,GEN,GEN,Bharatiya Janata Party,Lotus,995817,82.63,125675
441,Uttar Pradesh,Domariyaganj,27.2716,82.821,Jagdambika Pal,GEN,GEN,Bharatiya Janata Party,Lotus,1018100,81.38,103588
442,Uttar Pradesh,Etah,27.7452,78.7476,Rajveer Singh (Raju Bhaiya),GEN,GEN,Bharatiya Janata Party,Lotus,1050568,82.19,201001
443,Uttar Pradesh,Etawah,26.6734,79.2902,Ashok Kumar Doharey,SC,SC,Bharatiya Janata Party,Lotus,1130569,84.27,172946
444,Uttar Pradesh,Faizabad,26.663,81.9535,Lallu Singh,GEN,GEN,Bharatiya Janata Party,Lotus,1077881,83.48,282775
445,Uttar Pradesh,Farrukhabad,27.4313,79.4704,Mukesh Rajput,GEN,GEN,Bharatiya Janata Party,Lotus,1060274,76.64,150502
446,Uttar Pradesh,Fatehpur,25.85,80.8987,Niranjan Jyoti,GEN,GEN,Bharatiya Janata Party,Lotus,1026987,79.31,187206
447,Uttar Pradesh,Fatehpur Sikri,26.993,78.0652,Babulal,GEN,GEN,Bharatiya Janata Party,Lotus,972906,84.68,173106
448,Uttar Pradesh,Firozabad,27.1741,78.5661,Akshay Yadav,GEN,GEN,Samajwadi Party,Bicycle,998314,85.16,114059
449,Uttar Pradesh,Gautam Buddha Nagar,28.359,77.5508,Dr.Mahesh  Sharma,GEN,GEN,Bharatiya Janata Party,Lotus,1201806,82.23,280212
450,Uttar Pradesh,Ghaziabad,28.6974,77.5161,Vijay Kumar Singh,GEN,GEN,Bharatiya Janata Party,Lotus,1116658,76.71,567260
451,Uttar Pradesh,Ghazipur,25.6135,83.507,Manoj Sinha,GEN,GEN,Bharatiya Janata Party,Lotus,1034698,72.08,32452
452,Uttar Pradesh,Ghosi,25.9904,83.507,Harinarayan Rajbhar,GEN,GEN,Bharatiya Janata Party,Lotus,825142,78.87,146015
453,Uttar Pradesh,Gonda,27.1013,82.2583,Kirti Vardhan Singh,GEN,GEN,Bharatiya Janata Party,Lotus,874872,81.53,160412
454,Uttar Pradesh,Gorakhpur,26.7606,83.3732,Adityanath,GEN,GEN,Bharatiya Janata Party,Lotus,965310,77.47,312783
455,Uttar Pradesh,Hamirpur,31.5305,76.3637,Kunwar Pushpendra Singh Chandel,GEN,GEN,Bharatiya Janata Party,Lotus,894524,74.02,266788
456,Uttar Pradesh,Hardoi,27.4712,80.0088,Anshul Verma,SC,SC,Bharatiya Janata Party,Lotus,970749,77.14,81343
457,Uttar Pradesh,Hathras,27.6492,78.1564,Rajesh Kumar Diwaker,SC,SC,Bharatiya Janata Party,Lotus,939893,78.05,326386
458,Uttar Pradesh,Jalaun,25.9269,79.2902,Bhanu Pratap Singh Verma,SC,SC,Bharatiya Janata Party,Lotus,1114576,82.59,287202
459,Uttar Pradesh,Jaunpur,25.8957,82.5186,Krishna Pratap ''''''''K.P.'''''''',GEN,GEN,Bharatiya Janata Party,Lotus,835125,75.6,146310
460,Uttar Pradesh,Jhansi,24.6488,78.4752,Uma Bharati,GEN,GEN,Bharatiya Janata Party,Lotus,971448,84.16,190467
461,Uttar Pradesh,Kairana,29.6361,77.2865,Hukum Singh,GEN,GEN,Bharatiya Janata Party,Lotus,1109197,76.14,236828
462,Uttar Pradesh,Kaiserganj,27.2515,81.5473,Brij Bhusan Sharan Singh,GEN,GEN,Bharatiya Janata Party,Lotus,1320867,75.46,78218
463,Uttar Pradesh,Kannauj,26.8867,79.6502,Dimple Yadav,GEN,GEN,Samajwadi Party,Bicycle,977930,77.43,19907
464,Uttar Pradesh,Kanpur,26.4458,80.3436,Dr.Murli Manohar Joshi,GEN,GEN,Bharatiya Janata Party,Lotus,858689,88.36,222946
465,Uttar Pradesh,Kaushambi,25.5065,81.4279,Vinod Kumar Sonkar,SC,SC,Bharatiya Janata Party,Lotus,1057192,81.32,42900
466,Uttar Pradesh,Kheri,28.1651,80.6327,Ajay Kumar,GEN,GEN,Bharatiya Janata Party,Lotus,910514,84.4,110274
467,Uttar Pradesh,Kushi Nagar,26.8967,83.8049,Rajesh Pandey Urf Guddu,GEN,GEN,Bharatiya Janata Party,Lotus,960419,78.67,85540
468,Uttar Pradesh,Lalganj,26.0114,82.9502,Neelam Sonkar,SC,SC,Bharatiya Janata Party,Lotus,891635,81.38,63086
469,Uttar Pradesh,Lucknow,26.8578,80.9208,Raj Nath Singh,GEN,GEN,Bharatiya Janata Party,Lotus,1068169,77.87,272749
470,Uttar Pradesh,Machhlishahr,25.6874,82.413,Ram Charitra Nishad,SC,SC,Bharatiya Janata Party,Lotus,1022734,80.75,172155
471,Uttar Pradesh,Maharajganj,27.1177,83.507,Pankaj,GEN,GEN,Bharatiya Janata Party,Lotus,1034435,80.11,240458
472,Uttar Pradesh,Mainpuri,27.0319,79.1097,Mulayam Singh Yadav,GEN,GEN,Samajwadi Party,Bicycle,934330,78.32,364666
473,Uttar Pradesh,Mathura,27.6511,77.6536,Hema Malini,GEN,GEN,Bharatiya Janata Party,Lotus,943437,79.26,330743
474,Uttar Pradesh,Meerut,28.8146,77.791,Rajendra Agarwal,GEN,GEN,Bharatiya Janata Party,Lotus,980196,77.75,232326
475,Uttar Pradesh,Mirzapur,25.0072,82.6483,Anupriya Singh Patel,GEN,GEN,Apna Dal,Cup & Saucer,873934,61.8,219079
476,Uttar Pradesh,Misrikh,27.4301,80.5202,Anju Bala,SC,SC,Bharatiya Janata Party,Lotus,935029,60.49,87363
477,Uttar Pradesh,Mohanlalganj,26.6895,80.9843,Kaushal Kishore,SC,SC,Bharatiya Janata Party,Lotus,1048539,57.16,145416
478,Uttar Pradesh,Moradabad,29.0364,78.7476,Kunwer Sarvesh Kumar,GEN,GEN,Bharatiya Janata Party,Lotus,1012133,56.73,87504
479,Uttar Pradesh,Muzaffarnagar,29.3473,77.6078,(Dr.) Sanjeev Kumar Balyan,GEN,GEN,Bharatiya Janata Party,Lotus,1060241,57.18,401150
480,Uttar Pradesh,Nagina,29.4138,78.3387,Yashwant Singh,SC,SC,Bharatiya Janata Party,Lotus,1040822,52.86,92390
481,Uttar Pradesh,Phulpur,25.581,81.9098,Keshav Prasad Maurya,GEN,GEN,Bharatiya Janata Party,Lotus,950792,56.42,308308
482,Uttar Pradesh,Pilibhit,28.5835,80.0088,Maneka Sanjay Gandhi,GEN,GEN,Bharatiya Janata Party,Lotus,972160,63.62,307052
483,Uttar Pradesh,Pratapgarh,25.9124,81.9535,Kuwar Harivansh Singh,GEN,GEN,Apna Dal,Scissors,877911,61.48,168222
484,Uttar Pradesh,Rae Bareli,26.2469,81.2519,Sonia Gandhi,GEN,GEN,Indian National Congress,Hand,899548,64.52,352713
485,Uttar Pradesh,Rampur,25.4842,82.5916,Dr. Nepal Singh,GEN,GEN,Bharatiya Janata Party,Lotus,960600,67.6,23435
486,Uttar Pradesh,Robertsganj,24.5555,83.0791,Chhotelal,SC,SC,Bharatiya Janata Party,Lotus,1039830,64.31,190486
487,Uttar Pradesh,Saharanpur,29.9858,77.6078,Raghav Lakhanpal,GEN,GEN,Bharatiya Janata Party,Lotus,855776,59.96,65090
488,Uttar Pradesh,Salempur,26.2969,83.9163,Ravindra Kushawaha,GEN,GEN,Bharatiya Janata Party,Lotus,942275,55.45,232342
489,Uttar Pradesh,Sambhal,28.6685,78.7476,Satyapal Singh,GEN,GEN,Bharatiya Janata Party,Lotus,1007235,61.17,5174
490,Uttar Pradesh,Sant Kabir Nagar,26.6734,83.0361,Sharad Tripathi,GEN,GEN,Bharatiya Janata Party,Lotus,997913,59.12,97978
491,Uttar Pradesh,Shahjahanpur,27.8296,79.8297,Krishna Raj,SC,SC,Bharatiya Janata Party,Lotus,986715,54.6,235529
492,Uttar Pradesh,Shrawasti,27.6078,82.1278,Daddan Mishra,GEN,GEN,Bharatiya Janata Party,Lotus,980654,56.53,85913
493,Uttar Pradesh,Sitapur,27.5671,80.6861,Rajesh Verma,GEN,GEN,Bharatiya Janata Party,Lotus,1030812,51.57,51027
494,Uttar Pradesh,Sultanpur,26.2977,82.1278,Feroze Varun Gandhi,GEN,GEN,Bharatiya Janata Party,Lotus,982154,56.12,178902
495,Uttar Pradesh,Unnao,26.5761,80.5438,Sakshi Maharaj,GEN,GEN,Bharatiya Janata Party,Lotus,1007646,54.91,310173
496,Uttar Pradesh,Varanasi,25.2783,82.8856,Narendra Modi,GEN,GEN,Bharatiya Janata Party,Lotus,885876,60.22,371784
497,Uttarakhand,Almora,29.6019,79.6523,Ajay Tamta,SC,SC,Bharatiya Janata Party,Lotus,776945,76.15,95690
498,Uttarakhand,Garhwal,30.2643,79.2,(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm),GEN,GEN,Bharatiya Janata Party,Lotus,684014,71.93,184526
499,Uttarakhand,Hardwar,29.8876,78.0195,Ramesh Pokhriyal Nishank,GEN,GEN,Bharatiya Janata Party,Lotus,656934,72.69,177822
500,Uttarakhand,Nainital-Udhamsingh Nagar,29.1945,79.5603,Bhagat Singh Koshyari,GEN,GEN,Bharatiya Janata Party,Lotus,1101934,69.11,284717
501,Uttarakhand,Tehri Garhwal,30.3826,78.4738,Mala Rajya Laxmi Shah,GEN,GEN,Bharatiya Janata Party,Lotus,1175734,76.09,192503
502,West Bengal,Alipurduars,26.7009,89.3227,Dasrath Tirkey,ST,ST,All India Trinamool Congress,Flowers and Grass,1332968,76.15,21397
503,West Bengal,Arambagh,22.8433,87.8157,Aparupa Poddar (Afrin Ali),SC,SC,All India Trinamool Congress,Flowers and Grass,1225237,71.93,346845
504,West Bengal,Asansol,23.6887,87.1024,Babul Supriya Baral (Babul Supriyo),GEN,GEN,Bharatiya Janata Party,Lotus,1304280,72.69,70480
505,West Bengal,Baharampur,23.8957,88.2072,Adhir Ranjan Chowdhury,GEN,GEN,Indian National Congress,Hand,1142696,69.11,356567
506,West Bengal,Balurghat,25.3715,88.5565,Arpita Ghosh,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1108503,76.09,106964
507,West Bengal,Bangaon,23.0439,88.7494,Kapil Krishna Thakur,SC,SC,All India Trinamool Congress,Flowers and Grass,1063404,77.7,146601
508,West Bengal,Bankura,22.8743,86.822,Sreemati  Dev Varma (Moon Moon Sen),GEN,GEN,All India Trinamool Congress,Flowers and Grass,1163156,51.05,98506
509,West Bengal,Barasat,22.7334,88.6531,Dr. Kakali Ghoshdostidar,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1092465,53.06,173141
510,West Bengal,Bardhaman Purba,23.2476,87.8682,Sunil Kumar Mondal,SC,SC,All India Trinamool Congress,Flowers and Grass,1119320,53.3,114379
511,West Bengal,Barrackpore,22.827,88.4598,Dinesh Trivedi,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1154702,60.51,206773
512,West Bengal,Basirhat,22.5679,88.8263,Idris Ali,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1288578,71.58,109659
513,West Bengal,Birbhum,23.9822,87.5791,Satabdi Roy,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1248695,75.55,67263
514,West Bengal,Bishnupur,23.0762,87.4604,Khan Saumitra,SC,SC,All India Trinamool Congress,Flowers and Grass,1353623,79.75,149685
515,West Bengal,Bolpur,23.6522,87.7763,Anupam Hazra,SC,SC,All India Trinamool Congress,Flowers and Grass,1284297,81.27,236112
516,West Bengal,Burdwan - Durgapur,23.4159,87.8942,Dr. Mamtaz Sanghamita,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1052600,76.52,107331
517,West Bengal,Cooch Behar,26.3234,89.3227,Renuka Sinha,SC,SC,All India Trinamool Congress,Flowers and Grass,1133801,81.21,87107
518,West Bengal,Darjeeling,26.8345,88.3628,S.S.Ahluwalia,GEN,GEN,Bharatiya Janata Party,Lotus,1270164,82.55,197239
519,West Bengal,Diamond Harbour,22.3716,88.2072,Abhishek Banerjee,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1274085,71.82,71298
520,West Bengal,Dum Dum,22.6716,88.4113,Saugata Roy,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1189153,74.6,154934
521,West Bengal,Ghatal,22.3164,87.6186,Adhikari Deepak (Dev),GEN,GEN,All India Trinamool Congress,Flowers and Grass,1271208,80.19,260891
522,West Bengal,Hooghly,23.0396,88.285,Dr. Ratna De (Nag),GEN,GEN,All India Trinamool Congress,Flowers and Grass,1261328,67.53,189084
523,West Bengal,Howrah,22.5738,88.1779,Prasun Banerjee,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1274723,82.01,196956
524,West Bengal,Jadavpur,22.374,88.4404,Sugata Bose,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1168467,77.68,125203
525,West Bengal,Jalpaiguri,26.6952,88.5565,Bijoy Chandra Barman,SC,SC,All India Trinamool Congress,Flowers and Grass,956148,82.63,69606
526,West Bengal,Jangipur,24.2751,88.1291,Abhijit Mukherjee,GEN,GEN,Indian National Congress,Hand,1125728,81.38,8161
527,West Bengal,Jhargram,22.4964,86.9824,Uma Saren,ST,ST,All India Trinamool Congress,Flowers and Grass,1187174,82.19,347883
528,West Bengal,Joynagar,21.9472,88.7109,Pratima Mondal,SC,SC,All India Trinamool Congress,Flowers and Grass,1291154,84.27,108384
529,West Bengal,Kanthi,21.8891,87.737,Adhikari Sisir Kumar,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1350939,83.48,229490
530,West Bengal,Kolkata Dakshin,22.5038,88.3142,Subrata Bakshi,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1362848,76.64,136339
531,West Bengal,Kolkata Uttar,22.5759,88.3725,Sudip Bandyopadhyay,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1338336,79.31,96226
532,West Bengal,Krishnanagar,23.399,88.4985,Tapas Paul,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1292373,84.68,71255
533,West Bengal,Maldaha Dakshin,24.8431,87.9727,Abu Hasem Khan Chowdhury,GEN,GEN,Indian National Congress,Hand,1367637,85.16,164111
534,West Bengal,Maldaha Uttar,25.1786,88.2461,Mausam Noor,GEN,GEN,Indian National Congress,Hand,1257645,82.23,65705
535,West Bengal,Mathurapur,22.1203,88.3943,Choudhury Mohan Jatua,SC,SC,All India Trinamool Congress,Flowers and Grass,1263095,76.71,138768
536,West Bengal,Medinipur,22.1208,87.3016,Sandhya Roy,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1206653,72.08,185128
537,West Bengal,Murshidabad,24.1843,88.5179,Badaruddoza Khan,GEN,GEN,Communist Party Of India  (Marxist),"Hammer,1236613,78.87, Sickle and Star"
538,West Bengal,Purulia,26.7214,88.4239,Dr. Mriganka Mahato,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1272099,81.53,153877
539,West Bengal,Raiganj,25.7919,88.051,Md. Salim,GEN,GEN,Communist Party Of India  (Marxist),"Hammer,1321140,77.47, Sickle and Star"
540,West Bengal,Ranaghat,23.3285,88.5952,Tapas Mandal,SC,SC,All India Trinamool Congress,Flowers and Grass,1331732,74.02,201767
541,West Bengal,Srerampur,22.6812,88.1877,Kalyan Banerjee,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1142786,77.14,152526
542,West Bengal,Tamluk,22.1782,87.9727,Adhikari Suvendu,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1305062,78.05,246481
543,West Bengal,Uluberia,22.4744443,88.1000297,Sultan Ahmed,GEN,GEN,All India Trinamool Congress,Flowers and Grass,1275948,82.59,201222
