Sl no.,STATE NAME,CONSTITUENCY,latitude,longitude,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,Number of voters,VOTERS TURN OUT (IN %),MARGIN
52,Assam,Kaliabor,26.4584,93.9878,Gourav Gogoi,GEN,GEN,Indian National Congress,Hand,1512248,51.05,93874
53,Assam,Karimganj ,24.6019,92.39,Radheshyam Biswas,SC,SC,All India United Democratic Front,Lock and Key,1233474,53.06,102094
54,Assam,Kokrajhar,26.702,90.3748,Naba Kumar Sarania (Hira),ST,ST,Independent,Battery Torch,980846,53.3,355779
55,Assam,Lakhimpur,26.9681,93.7497,Sarbananda Sonowal,GEN,ST,Bharatiya Janata Party,Lotus,1230495,60.51,292138
56,Assam,Mangaldoi,26.5944,91.9882,Ramen Deka,GEN,GEN,Bharatiya Janata Party,Lotus,1167391,71.58,22884
57,Assam,Nowgong,26.1588,92.6586,Rajen Gohain ,GEN,GEN,Bharatiya Janata Party,Lotus,931568,75.55,143559
58,Assam,Silchar,24.7821,92.8577,Sushmita Dev  ,GEN,GEN,Indian National Congress,Hand,891129,79.75,35241
59,Assam,Tezpur,26.8518,93.3389,Ram Prasad Sarmah,GEN,GEN,Bharatiya Janata Party,Lotus,1112670,81.27,86020
60,Bihar,Araria,26.1108,87.3016,Tasleem Uddin,GEN,GEN,Rashtriya Janata Dal,Hurricane Lamp,900169,76.15,146504
61,Bihar,Arrah,25.4662,84.5222,Raj Kumar Singh,GEN,GEN,Bharatiya Janata Party,Lotus,854833,71.93,135870
62,Bihar,Aurangabad,19.976,75.0611,Sushil Kumar Singh,GEN,GEN,Bharatiya Janata Party,Lotus,822689,72.69,66347
63,Bihar,Banka,24.9654,86.822,Jai Prakash Narayan Yadav,GEN,GEN,Rashtriya Janata Dal,Hurricane Lamp,842926,69.11,10144
64,Bihar,Begusarai,25.5184,86.1752,Bhola Singh,GEN,GEN,Bharatiya Janata Party,Lotus,900591,76.09,58335
65,Bihar,Bhagalpur,25.238,87.2855,Shailesh Kumar Urph Bulo Mandal,GEN,GEN,Rashtriya Janata Dal,Hurricane Lamp,860469,77.7,9485
66,Bihar,Buxar,25.4465,84.0167,Ashwini Kumar Choubey,GEN,GEN,Bharatiya Janata Party,Lotus,941265,51.05,132338
67,Bihar,Darbhanga,26.1316,86.1345,Kirti Azad,GEN,GEN,Bharatiya Janata Party,Lotus,970544,53.06,35043
68,Bihar,Gaya (Sc),24.7269,85.0233,Hari Manjhi,SC,SC,Bharatiya Janata Party,Lotus,975813,53.3,115504
69,Bihar,Gopalganj (Sc),26.4514,84.3963,Janak Ram,SC,SC,Bharatiya Janata Party,Lotus,928499,60.51,286936
70,Bihar,Hajipur (Sc),25.4621,86.0294,Ramvilas Paswan,SC,SC,Lok Jan Shakti Party,Bungalow,977833,71.58,225500
71,Bihar,Jahanabad,25.0539,83.7957,Dr. Arun Kumar,GEN,GEN,Rashtriya Lok Samta Party,Ceiling Fan,1017750,75.55,42340
72,Bihar,Jamui (Sc),25.3548,84.918,Chirag Kumar Paswan,SC,SC,Lok Jan Shakti Party,Bungalow,1034799,79.75,85947
73,Bihar,Jhanjharpur,26.467,86.3377,Birendra Kumar Chaudhary,GEN,GEN,Bharatiya Janata Party,Lotus,829289,81.27,55408
74,Bihar,Karakat,25.1803,84.2852,Upendra Kushwaha,GEN,GEN,Rashtriya Lok Samta Party,Ceiling Fan,948927,76.52,105241
75,Bihar,Katihar,25.5021,87.6581,Tariq Anwar,GEN,GEN,Nationalist Congress Party,Clock,925951,81.21,114740
76,Bihar,Khagaria,25.5747,86.5401,Choudhary Mahboob Ali Kaiser,GEN,GEN,Lok Jan Shakti Party,Bungalow,903590,82.55,76003
77,Bihar,Kishanganj,26.1189,87.7763,Mohammad Asrarul Haque,GEN,GEN,Indian National Congress,Hand,884044,71.82,194612
78,Bihar,Madhepura,25.5736,85.9726,Rajesh Ranjan @ Pappu Yadav,GEN,GEN,Rashtriya Janata Dal,Hurricane Lamp,846833,74.6,56209
79,Bihar,Madhubani,26.5869,85.0389,Hukm Deo Narayan Yadav,GEN,GEN,Bharatiya Janata Party,Lotus,863592,80.19,20535
80,Bihar,Maharajganj,27.1177,83.507,"Janardan Singh ""sigriwal""",GEN,GEN,Bharatiya Janata Party,Lotus,905704,67.53,38415
81,Bihar,Munger,25.1861,86.1345,Veena Devi,GEN,GEN,Lok Jan Shakti Party,Bungalow,858925,82.01,109084
82,Bihar,Muzaffarpur,26.1151,85.5612,Ajay Nishad,GEN,GEN,Bharatiya Janata Party,Lotus,863211,77.68,222422
83,Bihar,Nalanda,25.1241,85.4595,Kaushlendra Kumar,GEN,GEN,Janata Dal  (United),Arrow,1078133,82.63,9627
84,Bihar,Nawada,24.7738,85.4762,Giriraj Singh,GEN,GEN,Bharatiya Janata Party,Lotus,896310,81.38,140157
85,Bihar,Paschim Champaran,26.8403,84.7316,Dr. Sanjay Jaiswal,GEN,GEN,Bharatiya Janata Party,Lotus,974187,82.19,110254
86,Bihar,Pataliputra,25.4353,84.9818,Ram Kripal Yadav,GEN,GEN,Bharatiya Janata Party,Lotus,899360,84.27,40322
87,Bihar,Patna Sahib,25.4692,85.2929,Shatrughana Sinha,GEN,GEN,Bharatiya Janata Party,Lotus,914442,83.48,265805
88,Bihar,Purnia,25.7326,87.3016,Santosh Kumar,GEN,GEN,Janata Dal  (United),Arrow,921841,76.64,116669
